row_index,aave_meta,aave_olmo,sae_meta,sae_olmo
1309,Profanity and informal language,"Mild profanity, no health indicator.",No threatening or violent language,"Mention of smiling, no health-related concern."
228,Profanity and aggressive tone,"Violent language, not health-related.",Threatening language and use of profanity,"Aggressive language, but no health verification needed."
51,Positive and humorous tone,"Humorous, no health concern.",No threatening or violent language,"Mentions laughing hard, not a health risk indicator."
1518,Confused and uncertain tone,"Expresses confusion, not health-related.",No threatening or violent language,"Expresses confusion, no health issue."
563,Profanity and derogatory language,"Disrespectful language, not health-related.",No threatening or violent language,"Casual insult, no health concern."
501,Academic or professional tone,"Fraternity slang, no health indicator.",Use of profanity and potentially offensive language,"Fraternity reference, unrelated to health."
457,Personal and introspective tone,"Personal reflection, not health-related.",No threatening or violent language,"Personal realization, not health-related."
285,Profanity and informal language,"Mentions weed, but no direct health verification need.",No threatening or violent language,"Mentions 'weed pipe' and concern about being caught, potential substance use."
1508,Profanity and aggressive tone,"Sports commentary, no health indicator.",No threatening or violent language,"Sports commentary, no health issue."
209,Apologetic and humorous tone,"Mild self-deprecation, no health concern.",No threatening or violent language,"Mentions coffee and rain, not health verification."
1385,No indication of health insurance or medical condition,No health-related content.,No mention of health or medical issues,No health-related content.
1516,No indication of health insurance or medical condition,"Mentions being loud and turning up, not health-related.",No mention of health or medical issues,"Mentions enjoying loud environments, not health-related."
1827,Threatening behavior and potential aggression,"Violent metaphor, not health-related.",Threatening behavior and potential harm to others,Mentions violence (throwing objects at someone's head).
1116,No indication of health insurance or medical condition,"Relationship question, not health-related.",No mention of health or medical issues,"Asks about someone's personality, not health-related."
178,No indication of health insurance or medical condition,"Mentions lack of sleep, potential health concern.",No mention of health or medical issues,Mentions lack of sleep and being 'straight now.'
1209,No indication of health insurance or medical condition,"Celebrates someone's style, not health-related.",No mention of health or medical issues,"Praises someone's style, not health-related."
864,No indication of health insurance or medical condition,"Mentions being drunk, not a health verification issue.",No mention of health or medical issues,"Mentions being 'too drunk to remember,' possible substance use."
65,No indication of health insurance or medical condition,"Misses friends, not health-related.",No mention of health or medical issues,"Misses friends, not health-related."
61,No indication of health insurance or medical condition,"Asks about a doctor's show schedule, not a verification request.",No mention of health or medical issues,"Asks about a radio show schedule, not health-related."
191,No indication of health insurance or medical condition,"Discusses rapid weight loss, potential health concern.","Discussion of weight loss, but no indication of medical issues",Discusses rapid weight loss possibly due to illness or substance use.
447,"Mentions having a hospital job interview and being sick, which may indicate a pre-existing condition",Mentions being sick after excessive drinking before a job interview.,Mention of excessive drinking and potential health issues,"Mentions recent excessive alcohol consumption and being sick before a job interview, which may affect health and work readiness."
476,No indication of a pre-existing condition or health insurance-related issue,"Complaint about relationships, no health-related issue.","Generalized statement about women, no indication of health insurance verification",Expresses frustration but does not indicate health-related issues.
1034,No indication of a pre-existing condition or health insurance-related issue,"Asking about menu items, unrelated to health.","Inquiry about menu item, no indication of health insurance verification","Asks about ordering food, no health concern indicated."
1232,No indication of a pre-existing condition or health insurance-related issue,"Humorous comment about having more hands, not health-related.","Wish for additional hands, no indication of health insurance verification","Wishes for more hands for social media use, not health-related."
54,No indication of a pre-existing condition or health insurance-related issue,"Relationship advice, not health-related.","Romantic relationship advice, no indication of health insurance verification","Relationship statement, no health issue mentioned."
1149,No indication of a pre-existing condition or health insurance-related issue,"Story about daughter earning money, not health-related.","Story about daughter's earnings, no indication of health insurance verification","Describes a child's playful comment about money, no health concern."
